"MyUniID" "NS1" "refCoupNum" "coup1" "coup2" "coup3" "interviewDt" "interviewDt2"
250 100 1321311 13213111 13213112 13213113 1231545600 "10/1/09"
251 200 13131322 131313221 131313222 131313223 1231545600 "10/1/09"
252 4 13131321 131313211 131313212 131313213 1231545600 "10/1/09"
254 200 112333 1123331 1123332 1123333 1234224000 "10/2/09"
255 50 112332 1123321 1123322 1123323 1234224000 "10/2/09"
256 500 1321322 13213221 13213222 13213223 1234224000 "10/2/09"
257 290 1321323 13213231 13213232 13213233 1234224000 "10/2/09"
258 30 1321321 13213211 13213212 13213213 1234224000 "10/2/09"
259 300 13131221 131312211 131312212 131312213 1234224000 "10/2/09"
260 40 13131222 131312221 131312222 131312223 1234224000 "10/2/09"
261 400 13131223 131312231 131312232 131312233 1234224000 "10/2/09"
262 100 112221 1122211 1122212 1122213 1241913600 "10/5/09"
263 50 112223 1122231 1122232 1122233 1241913600 "10/5/09"
264 50 112222 1122221 1122222 1122223 1241913600 "10/5/09"
265 300 13132322 131323221 131323222 131323223 1244592000 "10/6/09"
266 60 13132321 131323211 131323212 131323213 1244592000 "10/6/09"
267 100 13132323 131323231 131323232 131323233 1244592000 "10/6/09"
268 60 13132123 131321231 131321232 131321233 1244592000 "10/6/09"
269 50 13132122 131321221 131321222 131321223 1244592000 "10/6/09"
270 200 13132121 131321211 131321212 131321213 1244592000 "10/6/09"
271 50 21221 212211 212212 212213 1244592000 "10/6/09"
272 50 21222 212221 212222 212223 1244592000 "10/6/09"
274 100 13133131 131331311 131331312 131331313 1247184000 "10/7/09"
275 50 13133132 131331321 131331322 131331323 1247184000 "10/7/09"
276 50 13133133 131331331 131331332 131331333 1247184000 "10/7/09"
277 30 13132212 131322121 131322122 131322123 1247184000 "10/7/09"
278 200 13132211 131322111 131322112 131322113 1247184000 "10/7/09"
280 50 13132223 131322231 131322232 131322233 1249862400 "10/8/09"
281 500 13132222 131322221 131322222 131322223 1249862400 "10/8/09"
282 50 13133121 131331211 131331212 131331213 1249862400 "10/8/09"
283 250 13133123 131331231 131331232 131331233 1249862400 "10/8/09"
284 200 13133122 131331221 131331222 131331223 1249862400 "10/8/09"
285 20 3233 32331 32332 32333 1249862400 "10/8/09"
286 30 3232 32321 32322 32323 1249862400 "10/8/09"
287 200 32332 323321 323322 323323 1252540800 "10/9/09"
288 10 32333 323331 323332 323333 1252540800 "10/9/09"
289 30 32331 323311 323312 323313 1252540800 "10/9/09"
290 30 13331212 133312121 133312122 133312123 1263081600 "10/13/09"
291 10 13331211 133312111 133312112 133312113 1263081600 "10/13/09"
293 30 323313 3233131 3233132 3233133 1263081600 "10/13/09"
294 50 323311 3233111 3233112 3233113 1263081600 "10/13/09"
295 60 323312 3233121 3233122 3233123 1263081600 "10/13/09"
296 100 3233112 32331121 32331122 32331123 -486441318 "10/14/09"
297 100 3233111 32331111 32331112 32331113 -486441318 "10/14/09"
298 500 3233113 32331131 32331132 32331133 -486441318 "10/14/09"
299 60 3233131 32331311 32331312 32331313 -486441318 "10/14/09"
300 30 3233133 32331331 32331332 32331333 -486441318 "10/14/09"
301 50 3233132 32331321 32331322 32331323 -486441318 "10/14/09"
302 100 321122 3211221 3211222 3211223 -486441318 "10/14/09"
303 30 321123 3211231 3211232 3211233 -486441318 "10/14/09"
304 999 321121 3211211 3211212 3211213 -486441318 "10/14/09"
